keyword	position	type	domain_rating	traffic	url	title	serp_snapshot
garden wedding	1	local_pack	None	None	None	Dani Hill (Puncak Dani Bungalow)	2026-08-26T14:26:00Z
garden wedding	1	local_pack	None	None	None	Glasshouse at Seputeh	2026-08-26T14:26:00Z
garden wedding	1	local_pack	None	None	None	Tepian Rimba Villa (garden wedding & event space)	2026-08-26T14:26:00Z
garden wedding	2	image	None	None	https://mindyweiss.com/garden-party-wedding-ceremony-aisles/		2026-08-26T14:26:00Z
garden wedding	2	image	None	None	https://junebugweddings.com/wedding-blog/elegant-garden-wedding-where-intimacy-meets-sophistication/		2026-08-26T14:26:00Z
garden wedding	2	image	None	None	https://www.herecomestheguide.com/wedding-ideas/garden-wedding-ideas		2026-08-26T14:26:00Z
garden wedding	2	image	None	None	https://mindyweiss.com/garden-party-wedding-ceremony-aisles/		2026-08-26T14:26:00Z
garden wedding	2	image	None	None	https://myeasternshorewedding.com/whispers-of-romance-planning-your-picture-perfect-garden-wedding-this-spring/		2026-08-26T14:26:00Z
garden wedding	2	image	None	None	https://southerneventsonline.com/simple-modern-rustic-wedding-at-the-cordelle/		2026-08-26T14:26:00Z
garden wedding	3	organic	44.0	330	https://theweddingnotebook.com/inspire/ideas-and-advice/best-venues-for-a-garden-wedding	20 Gorgeous Venues To Throw A Garden Wedding	2026-08-26T14:26:00Z
garden wedding	4	organic	14.0	231	https://wedresearch.net/how-to-plan-a-garden-wedding-in-malaysia/	The Most Beautiful Garden Weddings in Malaysia	2026-08-26T14:26:00Z
garden wedding	5	organic	100.0	13	https://www.facebook.com/byamansejagatcaterer/	Garden Wedding (@byamansejagatcaterer)	2026-08-26T14:26:00Z
garden wedding	6	organic	97.0	39	https://www.pinterest.com/ideas/garden-wedding-malaysia/915035654649/	Garden Wedding Malaysia	2026-08-26T14:26:00Z
garden wedding	7	organic	75.0	47	https://www.panpacific.com/en/hotels-and-resorts/pr-penang/celebrate/celebrate-venue/garden.html	Garden Weddings at PARKROYAL Penang	2026-08-26T14:26:00Z
garden wedding	8	organic	30.0	206	https://www.bridepay.com/articles-by-weddingsmalaysia/articles/628/stunning-garden-wedding-venues-in-malaysia	Stunning Garden Wedding Venues In Malaysia | Blog	2026-08-26T14:26:00Z
garden wedding	9	organic	27.0	136	https://www.saujanahotels.com/weddings	Weddings at The Saujana Hotel | Wedding Hall Selangor	2026-08-26T14:26:00Z
garden wedding	10	organic	14.0	24	https://nikahsatu.com/8-tempat-kahwin-konsep-garden-di-lembah-klang/	8 Tempat Kahwin Konsep Garden di Lembah Klang	2026-08-26T14:26:00Z
garden wedding kl	1	local_pack	None	None	None	Glasshouse at Seputeh	2026-08-25T06:49:34Z
garden wedding kl	1	local_pack	None	None	None	Awan Space Garden Hall WANGSA MAJU	2026-08-25T06:49:34Z
garden wedding kl	1	local_pack	None	None	None	The Estate on Federal Hill	2026-08-25T06:49:34Z
garden wedding kl	2	organic	44.0	330	https://theweddingnotebook.com/inspire/ideas-and-advice/best-venues-for-a-garden-wedding	20 Gorgeous Venues To Throw A Garden Wedding	2026-08-25T06:49:34Z
garden wedding kl	3	organic	34.0	167	https://colony.work/wedding-venue-kl/	Garden Wedding Venue in KL | Tailored Wedding Packages	2026-08-25T06:49:34Z
garden wedding kl	4	organic	14.0	231	https://wedresearch.net/how-to-plan-a-garden-wedding-in-malaysia/	The Most Beautiful Garden Weddings in Malaysia	2026-08-25T06:49:34Z
garden wedding kl	5	organic	30.0	836	https://www.bridepay.com/articles-by-weddingsmalaysia/articles/16-unique-wedding-venues-in-kl-94d64da7-c69d-4811-84fb-2d1484768b25	16 Unique Wedding Venues in KL | Blog	2026-08-25T06:49:34Z
garden wedding kl	6	organic	43.0	581	https://www.venuerific.com/blog/11-beautiful-budget-wedding-venues-in-kl-selangor	11 Beautiful Budget Wedding Venues in KL & Selangor	2026-08-25T06:49:34Z
garden wedding kl	7	organic	100.0	108	https://www.instagram.com/bayswater.klcc_eventvenue/?hl=en	bayswater.klcc_eventvenue - Grand Pavilion	2026-08-25T06:49:34Z
garden wedding kl	8	organic	31.0	19	https://whitehouse.estate/weddings/	Elegant Wedding Venues for Rent in KL	2026-08-25T06:49:34Z
garden wedding kl	9	organic	30.0	206	https://www.bridepay.com/articles-by-weddingsmalaysia/articles/628/stunning-garden-wedding-venues-in-malaysia	Stunning Garden Wedding Venues In Malaysia | Blog	2026-08-25T06:49:34Z
garden wedding kl	10	organic	16.0	21	https://boathouse.my/top-13-wedding-venue-in-malaysia-you-should-never-missed/	Top 13 Wedding Venue In Malaysia You Should Never ...	2026-08-25T06:49:34Z
garden wedding malaysia	1	organic	14.0	231	https://wedresearch.net/how-to-plan-a-garden-wedding-in-malaysia/	The Most Beautiful Garden Weddings in Malaysia	2026-07-23T09:45:15Z
garden wedding malaysia	2	local_pack	None	None	None	Glass Hall, Elissa Garden, Alor Setar	2026-07-23T09:45:15Z
garden wedding malaysia	2	local_pack	None	None	None	Tepian Rimba Villa (garden wedding & event space)	2026-07-23T09:45:15Z
garden wedding malaysia	2	local_pack	None	None	None	Glasshouse at Seputeh	2026-07-23T09:45:15Z
garden wedding malaysia	3	organic	30.0	206	https://www.bridepay.com/articles-by-weddingsmalaysia/articles/628/stunning-garden-wedding-venues-in-malaysia	Stunning Garden Wedding Venues In Malaysia | Blog	2026-07-23T09:45:15Z
garden wedding malaysia	4	organic	44.0	330	https://theweddingnotebook.com/inspire/ideas-and-advice/best-venues-for-a-garden-wedding	20 Gorgeous Venues To Throw A Garden Wedding	2026-07-23T09:45:15Z
garden wedding malaysia	5	image	None	None	https://wedresearch.net/how-to-plan-a-garden-wedding-in-malaysia/		2026-07-23T09:45:15Z
garden wedding malaysia	5	image	None	None	https://ikanglamp.co/events/weddings-roms/		2026-07-23T09:45:15Z
garden wedding malaysia	5	image	None	None	https://wedresearch.net/how-to-plan-a-garden-wedding-in-malaysia/		2026-07-23T09:45:15Z
garden wedding malaysia	6	organic	43.0	15	https://www.venuerific.com/my/garden-wedding-venue-malaysia	Beautiful Garden Wedding Venues Malaysia	2026-07-23T09:45:15Z
garden wedding malaysia	7	organic	97.0	39	https://www.pinterest.com/ideas/garden-wedding-malaysia/915035654649/	Garden Wedding Malaysia	2026-07-23T09:45:15Z
garden wedding malaysia	8	organic	34.0	167	https://colony.work/wedding-venue-kl/	Garden Wedding Venue in KL | Tailored Wedding Packages	2026-07-23T09:45:15Z
garden wedding malaysia	9	organic	1.0	105	https://ikanglamp.co/events/weddings-roms/	Outdoor Wedding Malaysia	2026-07-23T09:45:15Z
garden wedding malaysia	10	organic	16.0	21	https://boathouse.my/top-13-wedding-venue-in-malaysia-you-should-never-missed/	Top 13 Wedding Venue In Malaysia You Should Never ...	2026-07-23T09:45:15Z
wedding garden	1	local_pack	None	None	None	Jardin Event Venue	2026-08-14T03:00:08Z
wedding garden	1	local_pack	None	None	None	Tepian Rimba Villa (garden wedding & event space)	2026-08-14T03:00:08Z
wedding garden	1	local_pack	None	None	None	Boathouse By The Lake - Event Space & Event Venues in KL	2026-08-14T03:00:08Z
wedding garden	2	organic	44.0	330	https://theweddingnotebook.com/inspire/ideas-and-advice/best-venues-for-a-garden-wedding	20 Gorgeous Venues To Throw A Garden Wedding	2026-08-14T03:00:08Z
wedding garden	3	image	None	None	https://mindyweiss.com/garden-party-wedding-ceremony-aisles/		2026-08-14T03:00:08Z
wedding garden	3	image	None	None	https://www.herecomestheguide.com/wedding-ideas/garden-wedding-ideas		2026-08-14T03:00:08Z
wedding garden	3	image	None	None	https://www.pinterest.com/stylemepretty/garden-wedding/		2026-08-14T03:00:08Z
wedding garden	3	image	None	None	https://myeasternshorewedding.com/whispers-of-romance-planning-your-picture-perfect-garden-wedding-this-spring/		2026-08-14T03:00:08Z
wedding garden	3	image	None	None	https://mindyweiss.com/garden-party-wedding-ceremony-aisles/		2026-08-14T03:00:08Z
wedding garden	3	image	None	None	https://www.partyslate.com/best-of/garden-wedding-theme-ideas		2026-08-14T03:00:08Z
wedding garden	4	organic	14.0	231	https://wedresearch.net/how-to-plan-a-garden-wedding-in-malaysia/	The Most Beautiful Garden Weddings in Malaysia	2026-08-14T03:00:08Z
wedding garden	5	organic	97.0	28	https://www.pinterest.com/stylemepretty/garden-wedding/	Discover 900+ Garden Wedding and organic wedding ideas	2026-08-14T03:00:08Z
wedding garden	6	organic	27.0	2	https://www.saujanahotels.com/offers/enchanting-garden-wedding-ceremony	Garden Wedding Ceremony | Offers & Packages ...	2026-08-14T03:00:08Z
wedding garden	7	organic	100.0	13	https://www.facebook.com/byamansejagatcaterer/	Garden Wedding (@byamansejagatcaterer)	2026-08-14T03:00:08Z
wedding garden	8	question	None	None	None	What is the best garden wedding venue in Kuala Lumpur?	2026-08-14T03:00:08Z
wedding garden	8	question	None	None	None	How to organise a garden wedding?	2026-08-14T03:00:08Z
wedding garden	8	question	None	None	None	What are some popular garden wedding styles?	2026-08-14T03:00:08Z
wedding garden	8	question	None	None	None	What do you wear for a garden wedding?	2026-08-14T03:00:08Z
wedding garden	9	organic	41.0	18	https://www.glenmarie.com.my/garden-wedding	Garden Wedding	2026-08-14T03:00:08Z
wedding garden	10	organic	30.0	206	https://www.bridepay.com/articles-by-weddingsmalaysia/articles/628/stunning-garden-wedding-venues-in-malaysia	Stunning Garden Wedding Venues In Malaysia | Blog	2026-08-14T03:00:08Z
